colour	x	xend	y	yend	showSelected1	showSelected2
#66C2A5	1	1	-0.689099191816566	-0.689099191816566	8	subtrain
#FC8D62	2	2	-0.608089478320124	-0.689099191816566	8	validation
#66C2A5	1	1	-0.689099191816566	-0.689099191816566	9	subtrain
#FC8D62	2	2	-0.608089478320124	-0.689099191816566	9	validation
#66C2A5	1	1	-0.689099191816566	-0.689099191816566	10	subtrain
#FC8D62	2	2	-0.608089478320124	-0.689099191816566	10	validation
#66C2A5	1	1	-0.689099191816566	-0.689099191816566	11	subtrain
#FC8D62	2	2	-0.608089478320124	-0.689099191816566	11	validation
#66C2A5	1	1	-0.689099191816566	-0.689099191816566	12	subtrain
#FC8D62	2	2	-0.608089478320124	-0.689099191816566	12	validation
#66C2A5	1	1	-0.689099191816566	-0.689099191816566	13	subtrain
#FC8D62	2	2	-0.608089478320124	-0.689099191816566	13	validation
#66C2A5	1	1	-0.689099191816566	-0.689099191816566	14	subtrain
#FC8D62	2	2	-0.608089478320124	-0.689099191816566	14	validation
#66C2A5	1	1	-0.689099191816566	-0.689099191816566	15	subtrain
#FC8D62	2	2	-0.608089478320124	-0.689099191816566	15	validation
#66C2A5	1	1	-0.689099191816566	-0.689099191816566	16	subtrain
#FC8D62	2	2	-0.608089478320124	-0.689099191816566	16	validation
#66C2A5	1	1	-0.689099191816566	-0.689099191816566	17	subtrain
#FC8D62	2	2	-0.608089478320124	-0.689099191816566	17	validation
#66C2A5	1	1	-0.689099191816566	-0.689099191816566	18	subtrain
#FC8D62	2	2	-0.608089478320124	-0.689099191816566	18	validation
#66C2A5	1	1	-0.689099191816566	-0.689099191816566	19	subtrain
#FC8D62	2	2	-0.608089478320124	-0.689099191816566	19	validation
#66C2A5	1	1	-0.689099191816566	-0.689099191816566	20	subtrain
#FC8D62	2	2	-0.608089478320124	-0.689099191816566	20	validation
#66C2A5	1	1	-0.689099191816566	-0.689099191816566	21	subtrain
#FC8D62	2	2	-0.608089478320124	-0.689099191816566	21	validation
#66C2A5	1	1	-0.689099191816566	-0.689099191816566	22	subtrain
#FC8D62	2	2	-0.608089478320124	-0.689099191816566	22	validation
#66C2A5	1	1	-0.689099191816566	-0.689099191816566	23	subtrain
#FC8D62	2	2	-0.608089478320124	-0.689099191816566	23	validation
#66C2A5	1	1	-0.689099191816566	-0.689099191816566	24	subtrain
#FC8D62	2	2	-0.608089478320124	-0.689099191816566	24	validation
#66C2A5	1	1	-0.689099191816566	-0.689099191816566	25	subtrain
#FC8D62	2	2	-0.608089478320124	-0.689099191816566	25	validation
#66C2A5	1	1	-0.689099191816566	-0.571589292018503	5	subtrain
#FC8D62	2	2	-0.608089478320124	-0.571589292018503	5	validation
#FC8D62	3	3	-0.710016671983337	-0.571589292018503	5	validation
#66C2A5	4	4	-0.466925730528553	-0.571589292018503	5	subtrain
#FC8D62	5	5	-0.593503033560796	-0.571589292018503	5	validation
#FC8D62	6	6	-0.708500649154134	-0.571589292018503	5	validation
#66C2A5	7	7	-0.577710905499484	-0.571589292018503	5	subtrain
#66C2A5	8	8	-0.552621340229411	-0.571589292018503	5	subtrain
#FC8D62	9	9	-0.568875675576983	-0.571589292018503	5	validation
#FC8D62	10	10	-0.656992649457968	-0.571589292018503	5	validation
#66C2A5	1	1	-0.689099191816566	-0.571589292018503	6	subtrain
#FC8D62	2	2	-0.608089478320124	-0.571589292018503	6	validation
#FC8D62	3	3	-0.710016671983337	-0.571589292018503	6	validation
#66C2A5	4	4	-0.466925730528553	-0.571589292018503	6	subtrain
#FC8D62	5	5	-0.593503033560796	-0.571589292018503	6	validation
#FC8D62	6	6	-0.708500649154134	-0.571589292018503	6	validation
#66C2A5	7	7	-0.577710905499484	-0.571589292018503	6	subtrain
#66C2A5	8	8	-0.552621340229411	-0.571589292018503	6	subtrain
#FC8D62	9	9	-0.568875675576983	-0.571589292018503	6	validation
#FC8D62	10	10	-0.656992649457968	-0.571589292018503	6	validation
#66C2A5	1	1	-0.689099191816566	-0.571589292018503	7	subtrain
#FC8D62	2	2	-0.608089478320124	-0.571589292018503	7	validation
#FC8D62	3	3	-0.710016671983337	-0.571589292018503	7	validation
#66C2A5	4	4	-0.466925730528553	-0.571589292018503	7	subtrain
#FC8D62	5	5	-0.593503033560796	-0.571589292018503	7	validation
#FC8D62	6	6	-0.708500649154134	-0.571589292018503	7	validation
#66C2A5	7	7	-0.577710905499484	-0.571589292018503	7	subtrain
#66C2A5	8	8	-0.552621340229411	-0.571589292018503	7	subtrain
#FC8D62	9	9	-0.568875675576983	-0.571589292018503	7	validation
#FC8D62	10	10	-0.656992649457968	-0.571589292018503	7	validation
#66C2A5	1	1	-0.689099191816566	-0.171972582101813	4	subtrain
#FC8D62	2	2	-0.608089478320124	-0.171972582101813	4	validation
#FC8D62	3	3	-0.710016671983337	-0.171972582101813	4	validation
#66C2A5	4	4	-0.466925730528553	-0.171972582101813	4	subtrain
#FC8D62	5	5	-0.593503033560796	-0.171972582101813	4	validation
#FC8D62	6	6	-0.708500649154134	-0.171972582101813	4	validation
#66C2A5	7	7	-0.577710905499484	-0.171972582101813	4	subtrain
#66C2A5	8	8	-0.552621340229411	-0.171972582101813	4	subtrain
#FC8D62	9	9	-0.568875675576983	-0.171972582101813	4	validation
#FC8D62	10	10	-0.656992649457968	-0.171972582101813	4	validation
#FC8D62	11	11	0.334821441067167	-0.171972582101813	4	validation
#66C2A5	12	12	0.222627647863225	-0.171972582101813	4	subtrain
#FC8D62	13	13	0.121519266167902	-0.171972582101813	4	validation
#FC8D62	14	14	-0.0378266644956678	-0.171972582101813	4	validation
#FC8D62	15	15	0.296136416036393	-0.171972582101813	4	validation
#66C2A5	16	16	0.179149963320559	-0.171972582101813	4	subtrain
#FC8D62	17	17	0.182024297912188	-0.171972582101813	4	validation
#FC8D62	18	18	0.278026945290612	-0.171972582101813	4	validation
#66C2A5	19	19	0.265765443731891	-0.171972582101813	4	subtrain
#66C2A5	20	20	0.243033456343833	-0.171972582101813	4	subtrain
#66C2A5	1	1	-0.689099191816566	-0.426658941473083	2	subtrain
#FC8D62	2	2	-0.608089478320124	-0.426658941473083	2	validation
#FC8D62	3	3	-0.710016671983337	-0.426658941473083	2	validation
#66C2A5	4	4	-0.466925730528553	-0.426658941473083	2	subtrain
#FC8D62	5	5	-0.593503033560796	-0.426658941473083	2	validation
#FC8D62	6	6	-0.708500649154134	-0.426658941473083	2	validation
#66C2A5	7	7	-0.577710905499484	-0.426658941473083	2	subtrain
#66C2A5	8	8	-0.552621340229411	-0.426658941473083	2	subtrain
#FC8D62	9	9	-0.568875675576983	-0.426658941473083	2	validation
#FC8D62	10	10	-0.656992649457968	-0.426658941473083	2	validation
#FC8D62	11	11	0.334821441067167	-0.426658941473083	2	validation
#66C2A5	12	12	0.222627647863225	-0.426658941473083	2	subtrain
#FC8D62	13	13	0.121519266167902	-0.426658941473083	2	validation
#FC8D62	14	14	-0.0378266644956678	-0.426658941473083	2	validation
#FC8D62	15	15	0.296136416036393	-0.426658941473083	2	validation
#66C2A5	16	16	0.179149963320559	-0.426658941473083	2	subtrain
#FC8D62	17	17	0.182024297912188	-0.426658941473083	2	validation
#FC8D62	18	18	0.278026945290612	-0.426658941473083	2	validation
#66C2A5	19	19	0.265765443731891	-0.426658941473083	2	subtrain
#66C2A5	20	20	0.243033456343833	-0.426658941473083	2	subtrain
#66C2A5	21	21	-0.743730875249225	-0.426658941473083	2	subtrain
#66C2A5	22	22	-0.757414982336941	-0.426658941473083	2	subtrain
#FC8D62	23	23	-0.828172114073528	-0.426658941473083	2	validation
#66C2A5	24	24	-1.03456378199638	-0.426658941473083	2	subtrain
#FC8D62	25	25	-0.773646037620576	-0.426658941473083	2	validation
#66C2A5	26	26	-0.841241486362947	-0.426658941473083	2	subtrain
#FC8D62	27	27	-0.85120816308058	-0.426658941473083	2	validation
#FC8D62	28	28	-0.982703850799975	-0.426658941473083	2	validation
#FC8D62	29	29	-0.883443617920909	-0.426658941473083	2	validation
#66C2A5	30	30	-0.793834456390077	-0.426658941473083	2	subtrain
#66C2A5	1	1	-0.689099191816566	-0.426658941473083	3	subtrain
#FC8D62	2	2	-0.608089478320124	-0.426658941473083	3	validation
#FC8D62	3	3	-0.710016671983337	-0.426658941473083	3	validation
#66C2A5	4	4	-0.466925730528553	-0.426658941473083	3	subtrain
#FC8D62	5	5	-0.593503033560796	-0.426658941473083	3	validation
#FC8D62	6	6	-0.708500649154134	-0.426658941473083	3	validation
#66C2A5	7	7	-0.577710905499484	-0.426658941473083	3	subtrain
#66C2A5	8	8	-0.552621340229411	-0.426658941473083	3	subtrain
#FC8D62	9	9	-0.568875675576983	-0.426658941473083	3	validation
#FC8D62	10	10	-0.656992649457968	-0.426658941473083	3	validation
#FC8D62	11	11	0.334821441067167	-0.426658941473083	3	validation
#66C2A5	12	12	0.222627647863225	-0.426658941473083	3	subtrain
#FC8D62	13	13	0.121519266167902	-0.426658941473083	3	validation
#FC8D62	14	14	-0.0378266644956678	-0.426658941473083	3	validation
#FC8D62	15	15	0.296136416036393	-0.426658941473083	3	validation
#66C2A5	16	16	0.179149963320559	-0.426658941473083	3	subtrain
#FC8D62	17	17	0.182024297912188	-0.426658941473083	3	validation
#FC8D62	18	18	0.278026945290612	-0.426658941473083	3	validation
#66C2A5	19	19	0.265765443731891	-0.426658941473083	3	subtrain
#66C2A5	20	20	0.243033456343833	-0.426658941473083	3	subtrain
#66C2A5	21	21	-0.743730875249225	-0.426658941473083	3	subtrain
#66C2A5	22	22	-0.757414982336941	-0.426658941473083	3	subtrain
#FC8D62	23	23	-0.828172114073528	-0.426658941473083	3	validation
#66C2A5	24	24	-1.03456378199638	-0.426658941473083	3	subtrain
#FC8D62	25	25	-0.773646037620576	-0.426658941473083	3	validation
#66C2A5	26	26	-0.841241486362947	-0.426658941473083	3	subtrain
#FC8D62	27	27	-0.85120816308058	-0.426658941473083	3	validation
#FC8D62	28	28	-0.982703850799975	-0.426658941473083	3	validation
#FC8D62	29	29	-0.883443617920909	-0.426658941473083	3	validation
#66C2A5	30	30	-0.793834456390077	-0.426658941473083	3	subtrain
#66C2A5	1	1	-0.689099191816566	0.260653639891282	1	subtrain
#FC8D62	2	2	-0.608089478320124	0.260653639891282	1	validation
#FC8D62	3	3	-0.710016671983337	0.260653639891282	1	validation
#66C2A5	4	4	-0.466925730528553	0.260653639891282	1	subtrain
#FC8D62	5	5	-0.593503033560796	0.260653639891282	1	validation
#FC8D62	6	6	-0.708500649154134	0.260653639891282	1	validation
#66C2A5	7	7	-0.577710905499484	0.260653639891282	1	subtrain
#66C2A5	8	8	-0.552621340229411	0.260653639891282	1	subtrain
#FC8D62	9	9	-0.568875675576983	0.260653639891282	1	validation
#FC8D62	10	10	-0.656992649457968	0.260653639891282	1	validation
#FC8D62	11	11	0.334821441067167	0.260653639891282	1	validation
#66C2A5	12	12	0.222627647863225	0.260653639891282	1	subtrain
#FC8D62	13	13	0.121519266167902	0.260653639891282	1	validation
#FC8D62	14	14	-0.0378266644956678	0.260653639891282	1	validation
#FC8D62	15	15	0.296136416036393	0.260653639891282	1	validation
#66C2A5	16	16	0.179149963320559	0.260653639891282	1	subtrain
#FC8D62	17	17	0.182024297912188	0.260653639891282	1	validation
#FC8D62	18	18	0.278026945290612	0.260653639891282	1	validation
#66C2A5	19	19	0.265765443731891	0.260653639891282	1	subtrain
#66C2A5	20	20	0.243033456343833	0.260653639891282	1	subtrain
#66C2A5	21	21	-0.743730875249225	0.260653639891282	1	subtrain
#66C2A5	22	22	-0.757414982336941	0.260653639891282	1	subtrain
