xintercept	showSelected1
2.5	13
2.5	14
2.5	15
2.5	16
2.5	17
2.5	18
2.5	19
2.5	20
2.5	21
2.5	22
2.5	23
2.5	24
2.5	25
2.5	8
2.5	9
2.5	10
2.5	11
2.5	12
5.5	21
5.5	22
5.5	23
5.5	24
5.5	25
5.5	13
5.5	14
5.5	15
5.5	16
5.5	17
5.5	18
5.5	19
5.5	20
7.5	21
7.5	22
7.5	23
7.5	24
7.5	25
10.5	19
10.5	20
10.5	21
10.5	22
10.5	23
10.5	24
10.5	25
10.5	15
10.5	16
10.5	17
10.5	18
10.5	5
10.5	6
10.5	7
10.5	8
10.5	9
10.5	10
10.5	11
10.5	12
10.5	13
10.5	14
14.5	19
14.5	20
14.5	21
14.5	22
14.5	23
14.5	24
14.5	25
17.5	22
17.5	23
17.5	24
17.5	25
17.5	15
17.5	16
17.5	17
17.5	18
17.5	19
17.5	20
17.5	21
19.5	22
19.5	23
19.5	24
19.5	25
20.5	24
20.5	25
20.5	6
20.5	7
20.5	8
20.5	9
20.5	10
20.5	11
20.5	12
20.5	13
20.5	14
20.5	15
20.5	16
20.5	17
20.5	18
20.5	19
20.5	20
20.5	21
20.5	22
20.5	23
20.5	4
20.5	5
21.5	24
21.5	25
23.5	7
23.5	8
23.5	9
23.5	10
23.5	11
23.5	12
23.5	13
23.5	14
23.5	15
23.5	16
23.5	17
23.5	18
23.5	19
23.5	20
23.5	21
23.5	22
23.5	23
23.5	24
23.5	25
23.5	6
25.5	18
25.5	19
25.5	20
25.5	21
25.5	22
25.5	23
25.5	24
25.5	25
25.5	7
25.5	8
25.5	9
25.5	10
25.5	11
25.5	12
25.5	13
25.5	14
25.5	15
25.5	16
25.5	17
28.5	18
28.5	19
28.5	20
28.5	21
28.5	22
28.5	23
28.5	24
28.5	25
30.5	9
30.5	10
30.5	11
30.5	12
30.5	13
30.5	14
30.5	15
30.5	16
30.5	17
30.5	18
30.5	19
30.5	20
30.5	21
30.5	22
30.5	23
30.5	24
30.5	25
30.5	3
30.5	4
30.5	5
30.5	6
30.5	7
30.5	8
30.5	2
31.5	17
31.5	18
31.5	19
31.5	20
31.5	21
31.5	22
31.5	23
31.5	24
31.5	25
31.5	16
31.5	10
31.5	11
31.5	12
31.5	13
31.5	14
31.5	15
31.5	9
32.5	17
32.5	18
32.5	19
32.5	20
32.5	21
32.5	22
32.5	23
32.5	24
32.5	25
34.5	16
34.5	17
34.5	18
34.5	19
34.5	20
34.5	21
34.5	22
34.5	23
34.5	24
34.5	25
37.5	20
37.5	21
37.5	22
37.5	23
37.5	24
37.5	25
37.5	10
37.5	11
37.5	12
37.5	13
37.5	14
37.5	15
37.5	16
37.5	17
37.5	18
37.5	19
39.5	20
39.5	21
39.5	22
39.5	23
39.5	24
39.5	25
40.5	14
40.5	15
40.5	16
40.5	17
40.5	18
40.5	19
40.5	20
40.5	21
40.5	22
40.5	23
40.5	24
40.5	25
40.5	12
40.5	13
40.5	11
40.5	3
40.5	4
40.5	5
40.5	6
40.5	7
40.5	8
40.5	9
40.5	10
42.5	23
42.5	24
42.5	25
42.5	14
42.5	15
42.5	16
42.5	17
42.5	18
42.5	19
42.5	20
42.5	21
42.5	22
43.5	23
43.5	24
43.5	25
44.5	12
44.5	13
44.5	14
44.5	15
44.5	16
44.5	17
44.5	18
44.5	19
44.5	20
44.5	21
44.5	22
44.5	23
44.5	24
44.5	25
46.5	25
46.5	11
46.5	12
46.5	13
46.5	14
46.5	15
46.5	16
46.5	17
46.5	18
46.5	19
46.5	20
46.5	21
46.5	22
46.5	23
46.5	24
49.5	25
